SCI_NAME,TAXON_ORDER,PRIMARY_COM_NAME,CATEGORY,ORDER_NAME,FAMILY_NAME,SUBFAMILY_NAME,GENUS_NAME,SPECIES_NAME
Thamnophilus_melanothorax,12979,Band-tailed_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,melanothorax
Thamnophilus_multistriatus,12902,Bar-crested_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,multistriatus
Thamnophilus_murinus,12927,Mouse-colored_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,murinus
Thamnophilus_nigriceps,12931,Black_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,nigriceps
Thamnophilus_nigrocinereus,12934,Blackish-gray_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,nigrocinereus
Thamnophilus_palliatus,12911,Chestnut-backed_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,palliatus
Thamnophilus_pelzelni,12951,Planalto_Slaty-Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,pelzelni
Thamnophilus_praecox,12932,Cocha_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,praecox
Thamnophilus_punctatus,12940,Northern_Slaty-Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,punctatus
Thamnophilus_punctatus_leucogaster/huallagae,12944,Northern_Slaty-Antshrike_(Mara?on),issf,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnophilus_punctatus_punctatus/interpositus,12941,Northern_Slaty-Antshrike_(Northern),issf,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnophilus_ruficapillus,12892,Rufous-capped_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,ruficapillus
Thamnophilus_schistaceus,12923,Plain-winged_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,schistaceus
Thamnophilus_sp.,12990,Thamnophilus_sp.,spuh,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
Thamnophilus_stictocephalus,12947,Natterer's_Slaty-Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,stictocephalus
Thamnophilus_sticturus,12950,Bolivian_Slaty-Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,sticturus
